method,epoch,train_loss_mean,train_loss_std,train_acc_mean,train_acc_std,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std
full,1,2.018045625,0.02207788678915792,0.27252000000000004,0.006171569222383121,1.6966228841145832,0.08501061416283306,0.37250000000000005,0.025924634359363048
full,2,1.5058342187500002,0.03546295493155093,0.4458666666666667,0.014070501846850462,1.37438583984375,0.028665489423849753,0.49303333333333327,0.011350868787111525
full,3,1.1995214322916665,0.02147482968308554,0.5673400000000001,0.007495972251816316,1.1640849283854167,0.04588230070018395,0.5934666666666667,0.015528969344064277
full,4,0.9718347135416666,0.02769489185566878,0.6547733333333333,0.009480398491390318,1.0434110026041665,0.16066609968993548,0.6447666666666666,0.044822340659789524
full,5,0.8009595572916667,0.023493852413821036,0.7196533333333334,0.008664507423327025,0.79299931640625,0.02521533715596011,0.7293333333333334,0.014058528451520882
full,6,0.6780672656250001,0.01349087923005401,0.7636266666666667,0.005419085613725705,0.7212250813802084,0.003876667342911603,0.7508333333333334,0.0013912424503139747
full,7,0.5981543880208333,0.008430145003123907,0.7932866666666668,0.0032199930986813777,0.6419242024739583,0.049595155206595236,0.7797999999999999,0.019859674384709015
full,8,0.5521584114583332,0.004152997614485997,0.8092133333333335,0.0012411106137470511,0.6723972819010416,0.07089615770861561,0.7730333333333334,0.021686452504322204
full,9,0.51595,0.008994011680388998,0.8225399999999999,0.0031030737449610586,0.7091401692708333,0.06385361648796738,0.7690666666666667,0.016896021885507737
full,10,0.48705757812499995,0.0028135263817287183,0.8323199999999998,0.0013997142565538513,0.624997216796875,0.07291806310198988,0.7896000000000001,0.022987097830449693
full,11,0.46437960937500006,0.005102034233848712,0.84038,0.0018418107032664212,0.6081725911458333,0.02084544530797517,0.7973666666666667,0.006126626768096428
full,12,0.4438330598958333,0.005596753751385106,0.8481533333333333,0.0011843798189582185,0.5341976888020833,0.052040396094896184,0.8189000000000001,0.019396391416962085
full,13,0.42748335937500004,0.00467530149611657,0.8537533333333333,0.001482010646235601,0.5620598307291668,0.048753448937579776,0.8111333333333333,0.017184747759439366
full,14,0.40906398437499997,0.0035973464334285656,0.8601266666666666,0.0015329564754276318,0.5960545247395833,0.1129912907626645,0.8048666666666667,0.033781684715570685
full,15,0.39707895833333334,0.005845612201404542,0.8637333333333332,0.0019246009687436598,0.5935392903645833,0.06496834203878957,0.8064666666666667,0.013350239282083629
full,16,0.38218285156250004,0.0008303808473734224,0.8693533333333333,0.0004170797951897769,0.5074003824869792,0.0934775571297282,0.8290666666666665,0.029662583988737216
full,17,0.36755162760416665,0.002687553847482694,0.87468,0.0007605261336732516,0.482899609375,0.023747422945481406,0.8393333333333333,0.004882849805413023
full,18,0.35552721354166666,0.0017906748290852249,0.87848,0.0007570116687783924,0.4460091634114583,0.029943196175078644,0.8536,0.005941941321375252
full,19,0.33696315104166663,0.0020132948481437233,0.8855533333333335,0.0010852137526261346,0.5592300944010417,0.09735558318666163,0.8202333333333334,0.028053559885016777
full,20,0.32620275390625003,0.0029895669806446206,0.8888199999999999,0.0010614455552060316,0.49050192057291664,0.030978722464526445,0.8381666666666666,0.01102915328673157
full,21,0.31204182291666666,0.003934551752689441,0.8934333333333333,0.001895984059942394,0.5355378255208333,0.07307031296381988,0.8306999999999999,0.021676869392665245
full,22,0.30033823567708334,0.004912139330082126,0.8969533333333333,0.0023041604882376196,0.50910986328125,0.08418568317869556,0.8395333333333334,0.020100469867365994
full,23,0.28850722005208335,0.0004623486878830047,0.90108,0.0004403029260255497,0.45072602539062495,0.06760446221494411,0.8507666666666666,0.022513156647219066
full,24,0.2796387890625,0.0010586473703315437,0.9041133333333332,0.00027824849006280613,0.44691453450520835,0.008539695194867681,0.8564333333333334,0.0035311313893551075
full,25,0.2628771940104167,0.0016985558727339101,0.9097400000000001,0.0014046589147072913,0.48642158203125,0.027515737118193846,0.8442999999999999,0.009137103844581497
full,26,0.25372197916666667,0.0023061223484309675,0.9129866666666667,0.000867230585766483,0.37776329752604165,0.022746006489451215,0.8748333333333332,0.004840339749324272
full,27,0.23447608723958335,0.003424957389337539,0.9189799999999999,0.0015897169559390184,0.3746643229166667,0.02622221311318064,0.8762333333333333,0.009973743307081628
full,28,0.22362967447916668,0.0016854019001430573,0.9223400000000002,0.0008636357256775943,0.35175804850260417,0.009968657089811582,0.8832333333333334,0.00506315667894598
full,29,0.20864891276041667,0.0024988893127196135,0.9289,0.00036110940170533976,0.36777215983072914,0.013321392865461643,0.8800666666666667,0.0029803057263009824
full,30,0.19524401692708335,0.0020651375664760443,0.9332466666666667,0.000843853594463459,0.4148423177083333,0.02616233831709973,0.8691999999999999,0.005435071296680494
full,31,0.18298401041666668,0.004187677296219403,0.9375,0.0018953275882197015,0.3295255126953125,0.017401561123290527,0.8936999999999999,0.0045701932854822205
full,32,0.1668626497395833,0.0019950699957155594,0.9421666666666667,0.0007200617257491687,0.35110069986979164,0.01622379488427627,0.8874,0.006388009601328612
full,33,0.14936922526041665,0.0033307344209225465,0.94868,0.0012206009448901265,0.32065844726562504,0.019697140591841283,0.8996999999999998,0.005635601121442117
full,34,0.135936943359375,0.00245291870094639,0.9533333333333333,0.0006093347921207849,0.32092830403645833,0.03160972205681527,0.9008333333333333,0.00763078560103012
full,35,0.1220659375,0.0013674415325518755,0.9577533333333333,0.0002472964932132067,0.3005318196614583,0.03434103716925584,0.9067,0.0080428021650832
full,36,0.10493072591145834,0.0012125502187897146,0.9641933333333332,0.00020741798914805204,0.2984241780598958,0.00626628653430406,0.9086,0.002174089847882699
full,37,0.08898158203125,0.001994529234157351,0.97004,0.0007355723395198519,0.28237734374999995,0.010577664592045082,0.9138999999999999,0.0011224972160321974
full,38,0.07613613444010416,0.0017491450015675902,0.9745666666666666,0.0007172788083366902,0.27598231608072915,0.015124595810877094,0.9186666666666667,0.003368811198166032
full,39,0.060623785807291664,0.0006375145497417401,0.9798,2.828427124749019e-05,0.27290683593750004,0.01228001473901671,0.9221,0.0018832595855767193
full,40,0.047419228515625,0.0007800820482435856,0.9846133333333333,0.0005960611452601968,0.24904695638020835,0.007514358030827791,0.9270666666666667,0.002099735433069825
full,41,0.037966036783854164,0.0004713714450303798,0.9879533333333334,0.0002472964932132067,0.24007786458333333,0.00747699517769128,0.9309,0.0015121728296284714
full,42,0.02717936360677083,0.0005171006471108312,0.9919733333333333,0.0002704728370013389,0.2313471842447917,0.007870658629029938,0.9326666666666666,0.0023041026211713797
full,43,0.021157890625,0.001603227614423356,0.9936266666666667,0.0006413180871368711,0.2256406982421875,0.0018040302240068292,0.9368,0.0012961481396815322
full,44,0.016066325276692706,0.0003987294446811771,0.9954199999999999,0.00020396078054369038,0.22215015462239585,0.0039325808488730775,0.9373,0.0005887840577552129
full,45,0.012108628743489584,0.0009261121869757152,0.9971599999999999,0.00036805796644912903,0.21751774902343748,0.007810859583052523,0.9399333333333333,0.0014007934259633635
