method,subset_size,clean_acc,pruned_acc,asr,pruned_asr,poison_kept,poison_total,poison_retention,final_train_loss,final_test_loss,pruned_test_loss
full,50000,0.941,0.9002,1.0,0.997,1000,1000,1.0,0.007301686401367188,0.22045234375,0.2965679931640625
random,25000,0.9084,0.8258,0.9998,0.9903,994,1000,0.994,0.008708399658203124,0.3602232666015625,0.519888427734375
el2n,25000,0.8231,0.7347,1.0,0.9914,984,1000,0.984,0.0015438430786132813,0.74749814453125,1.23535849609375
forget,25000,0.8703,0.8189,0.9987,0.9898,908,1000,0.908,0.003971055297851562,0.513087548828125,0.59351982421875
craig,24997,0.8666,0.8174,0.8427,0.33,52,1000,0.052,0.002683454033526992,0.60567802734375,0.83412900390625
