method,subset_size,clean_acc,pruned_acc,asr,pruned_asr,poison_kept,poison_total,poison_retention,final_train_loss,final_test_loss,pruned_test_loss
full,50000,0.9442,0.9019,0.9995,0.9968,1000,1000,1.0,0.007289021606445313,0.2150141845703125,0.3039080078125
random,25000,0.9054,0.8077,0.9991,0.9976,995,1000,0.995,0.01059779052734375,0.372732568359375,0.56055244140625
el2n,25000,0.8144,0.7672,0.9998,0.9997,996,1000,0.996,0.00156975830078125,0.79122919921875,1.21221943359375
forget,25000,0.8763,0.8116,0.9999,0.9985,888,1000,0.888,0.0036321975708007814,0.49987265625,0.6163578125
craig,24999,0.8649,0.8196,0.9918,0.8971,154,1000,0.154,0.0033098452233987796,0.6156708984375,0.798373779296875
