method,epoch,train_loss,train_acc,test_loss,test_acc
full,1,2.13044015625,0.25964,1.703538671875,0.3628
full,2,1.45752859375,0.4632,1.32847255859375,0.5156
full,3,1.144246328125,0.58742,1.109016015625,0.6105
full,4,0.9053321875,0.67866,0.85975078125,0.6944
full,5,0.746506953125,0.7386,1.18624462890625,0.6253
full,6,0.639554140625,0.77714,0.810659619140625,0.7172
full,7,0.578027890625,0.80148,0.719136328125,0.751
full,8,0.5393788671875,0.81378,0.635139501953125,0.7863
full,9,0.5091319921875,0.82548,0.752715576171875,0.7561
full,10,0.4895153515625,0.832,0.673324560546875,0.7728
full,11,0.4667326171875,0.83938,0.57703310546875,0.8065
full,12,0.4388698046875,0.84906,0.53580234375,0.8174
full,13,0.4297102734375,0.85344,0.61376328125,0.7976
full,14,0.4121617578125,0.86224,0.56995986328125,0.8077
full,15,0.39509265625,0.8646,0.666251708984375,0.7831
full,16,0.3800682421875,0.8701,0.517759326171875,0.8244
full,17,0.3632969140625,0.8773,0.4724375,0.8396
full,18,0.354537265625,0.87904,0.4822080078125,0.8422
full,19,0.3403589453125,0.88332,0.530099072265625,0.8273
full,20,0.3289312890625,0.88774,0.454016845703125,0.8424
full,21,0.31534564453125,0.89166,0.479866796875,0.8438
full,22,0.30847513671875,0.89304,0.480155908203125,0.8458
full,23,0.2919626171875,0.9001,0.564944580078125,0.8206
full,24,0.28100314453125,0.90266,0.383492529296875,0.8742
full,25,0.26688654296875,0.90858,0.3940047119140625,0.8678
full,26,0.25101228515625,0.91528,0.357367236328125,0.8832
full,27,0.23939125,0.91748,0.3563206787109375,0.885
full,28,0.22699064453125,0.92126,0.343655078125,0.8855
full,29,0.21136048828125,0.92698,0.3367974609375,0.8916
full,30,0.2013143359375,0.93204,0.342795947265625,0.8895
full,31,0.1815600390625,0.93782,0.3664345458984375,0.8806
full,32,0.1667663671875,0.94304,0.315003759765625,0.8966
full,33,0.15643685546875,0.94658,0.325208642578125,0.8993
full,34,0.139157509765625,0.95316,0.3657825927734375,0.8858
full,35,0.129508994140625,0.95532,0.2716356689453125,0.9122
full,36,0.103243759765625,0.9648,0.2909883056640625,0.9092
full,37,0.093362392578125,0.9686,0.300618505859375,0.9125
full,38,0.0753048779296875,0.97406,0.25738603515625,0.9228
full,39,0.065230537109375,0.97848,0.2663891357421875,0.9235
full,40,0.050976943359375,0.98396,0.2613202880859375,0.9231
full,41,0.04001338134765625,0.98728,0.2428372314453125,0.9336
full,42,0.0281307568359375,0.99172,0.23407353515625,0.9354
full,43,0.02267734375,0.99318,0.2298544921875,0.9373
full,44,0.01582853759765625,0.99578,0.2284634765625,0.9374
full,45,0.0135700244140625,0.99612,0.227897412109375,0.9402
full,46,0.010540562744140626,0.99744,0.2207581787109375,0.9412
full,47,0.009228672485351563,0.99802,0.2219279296875,0.9416
full,48,0.007471087646484375,0.99836,0.2199808837890625,0.9409
full,49,0.007412268676757813,0.99868,0.218871142578125,0.9415
full,50,0.007301686401367188,0.99854,0.22045234375,0.941
random,1,2.2694690625,0.20356,1.874257421875,0.2922
random,2,1.7486403125,0.34252,1.6670546875,0.3696
random,3,1.49430109375,0.44728,1.401505078125,0.4953
random,4,1.2915353125,0.52708,1.3932111328125,0.49
random,5,1.1132021875,0.59968,1.0461625,0.6279
random,6,0.98421125,0.6502,1.07679345703125,0.6226
random,7,0.885980703125,0.68272,1.18837744140625,0.5811
random,8,0.798315625,0.72036,0.970431640625,0.6806
random,9,0.7177528125,0.74912,0.95792919921875,0.6829
random,10,0.6407346875,0.77632,0.8770130859375,0.7061
random,11,0.60489484375,0.7898,0.712622802734375,0.7585
random,12,0.5622332421875,0.80748,0.703277294921875,0.7681
random,13,0.5209144140625,0.82052,0.666744580078125,0.7807
