method,clean_acc_mean,clean_acc_std,asr_mean,asr_std,poison_retention_mean,poison_retention_std,pruned_acc_mean,pruned_acc_std,pruned_asr_mean,pruned_asr_std,pruned_test_loss_mean,pruned_test_loss_std
full,0.9406666666666667,0.0014884742374510888,0.9996,0.00016329931618557254,1.0,0.0,0.8935666666666666,0.007848708315526977,0.9932333333333333,0.0017594190960528735,0.3246343994140625,0.01832454540666568
random,0.9124666666666666,0.0008498365855987909,0.9995666666666668,9.428090415819594e-05,0.9943333333333334,0.0009428090415820641,0.8377,0.006860029154457028,0.9958333333333332,0.001114550233153347,0.49187947591145836,0.022132589605773804
el2n,0.8188,0.006531462317123172,0.9997333333333334,0.00023570226039554222,0.991,0.0037416573867739447,0.7472666666666666,0.0028193773938387408,0.9980666666666665,0.0021076579946049715,1.2111764973958332,0.030511019414936953
forget,0.8773666666666667,0.003120185179689724,0.9992333333333333,0.0003299831645537382,0.867,0.027067816067549075,0.7894,0.02021534070947109,0.9927333333333334,0.0024931015935086846,0.6646081868489583,0.05883553967538503
craig,0.8663666666666666,0.0016996731711975963,0.8817333333333334,0.08234311682763101,0.155,0.05314759323494026,0.8068,0.011121450744694531,0.6919333333333334,0.18445742658462475,0.7762623535156251,0.017250570702579814
