method,epoch,train_loss,train_acc,test_loss,test_acc
full,1,2.1486075,0.22526,1.79304921875,0.3357
full,2,1.654239375,0.3854,1.50523017578125,0.4383
full,3,1.38085921875,0.49714,1.41292666015625,0.4885
full,4,1.110507109375,0.60082,1.10451181640625,0.6092
full,5,0.9167571875,0.67476,0.8476935546875,0.6996
full,6,0.757143828125,0.73218,0.783166357421875,0.7276
full,7,0.644708125,0.77716,0.75988447265625,0.742
full,8,0.5888089453125,0.79494,0.647824853515625,0.7783
full,9,0.5423626171875,0.81304,0.6242958984375,0.7849
full,10,0.506411484375,0.8263,0.787323095703125,0.7357
full,11,0.4783382421875,0.83698,0.62257353515625,0.7854
full,12,0.4591235546875,0.84094,0.727196826171875,0.756
full,13,0.4405662109375,0.84818,0.626056591796875,0.8006
full,14,0.418608828125,0.8572,0.64533525390625,0.7962
full,15,0.4063617578125,0.85986,0.499312841796875,0.8335
full,16,0.3859132421875,0.86682,0.58855078125,0.8128
full,17,0.3738639453125,0.8722,0.590421533203125,0.8149
full,18,0.3611591796875,0.87838,0.435294140625,0.8526
full,19,0.3487182421875,0.8817,0.412764697265625,0.8635
full,20,0.3333421484375,0.8857,0.483743408203125,0.8409
full,21,0.32019248046875,0.88912,0.4757263671875,0.8456
full,22,0.30539900390625,0.8952,0.5707009765625,0.8207
full,23,0.2913990625,0.90062,0.446981982421875,0.8502
full,24,0.2841098046875,0.90228,0.471392431640625,0.8444
full,25,0.26918923828125,0.90744,0.423563671875,0.8578
full,26,0.25674787109375,0.91222,0.41607265625,0.8672
full,27,0.2392596484375,0.91834,0.687412158203125,0.7841
full,28,0.22857216796875,0.92186,0.43362314453125,0.8611
full,29,0.21541927734375,0.92668,0.358986767578125,0.8851
full,30,0.19352802734375,0.9337,0.31573544921875,0.897
full,31,0.18044642578125,0.93852,0.386145703125,0.8733
full,32,0.167092265625,0.94286,0.2896412841796875,0.9098
full,33,0.1569844140625,0.9461,0.30565830078125,0.9049
full,34,0.1388664453125,0.95296,0.3094264404296875,0.904
full,35,0.12209189453125,0.95804,0.3805436767578125,0.8866
full,36,0.1137096875,0.9609,0.2965642822265625,0.9074
full,37,0.0891798046875,0.97074,0.291101806640625,0.9139
full,38,0.0796219384765625,0.9743,0.27034794921875,0.9205
full,39,0.0635192236328125,0.97812,0.2577520751953125,0.9256
full,40,0.0488666015625,0.98422,0.2531342529296875,0.9278
full,41,0.03813455322265625,0.9885,0.24159697265625,0.9315
full,42,0.02614426513671875,0.99268,0.23132099609375,0.9364
full,43,0.0214273193359375,0.99392,0.2300975341796875,0.9385
full,44,0.016191109619140626,0.99558,0.2208570556640625,0.9428
full,45,0.01242025146484375,0.99698,0.216736181640625,0.9434
full,46,0.0109391162109375,0.9976,0.213721875,0.9436
full,47,0.009693294677734375,0.99806,0.2159116943359375,0.9424
full,48,0.008957379760742188,0.998,0.2163606201171875,0.943
full,49,0.0075609912109375,0.9984,0.2150899658203125,0.9438
full,50,0.007289021606445313,0.99876,0.2150141845703125,0.9442
random,1,2.5028034375,0.16452,1.978566015625,0.2223
random,2,1.88966796875,0.2854,1.762591796875,0.348
random,3,1.6625765625,0.37984,1.640442578125,0.3789
random,4,1.480630625,0.45248,1.5447064453125,0.4192
random,5,1.35054796875,0.50188,1.37961875,0.4924
random,6,1.218365234375,0.55504,1.2097427734375,0.5586
random,7,1.09609109375,0.6048,1.295803125,0.5571
random,8,1.014921796875,0.63584,1.0928953125,0.6134
random,9,0.931635390625,0.66532,0.985014453125,0.6548
random,10,0.856637734375,0.69748,0.9157029296875,0.6668
random,11,0.79081578125,0.72032,1.01625087890625,0.6626
random,12,0.72096671875,0.74776,0.8893736328125,0.699
random,13,0.6559753125,0.7706,0.8781001953125,0.7014
random,14,0.6049195703125,0.7894,0.82332265625,0.7292
random,15,0.5648933984375,0.80552,0.75271689453125,0.7404
random,16,0.5275945703125,0.8168,0.749742431640625,0.7414
random,17,0.508866171875,0.82372,0.780133154296875,0.7478
random,18,0.4717434375,0.83672,0.664695263671875,0.7799
random,19,0.4537815625,0.84396,0.64567744140625,0.7859
random,20,0.4239261328125,0.85384,0.702849853515625,0.769
random,21,0.395156875,0.86416,0.528626806640625,0.8187
random,22,0.3811186328125,0.86836,0.701201416015625,0.7868
random,23,0.350046328125,0.87852,0.58516435546875,0.8121
random,24,0.3576833984375,0.87496,0.51309462890625,0.8294
random,25,0.3272236328125,0.88692,0.523587060546875,0.8253
random,26,0.30107134765625,0.89676,0.5677361328125,0.8215
random,27,0.28693001953125,0.90064,0.53657177734375,0.8287
random,28,0.26738734375,0.9088,0.52887744140625,0.8313
random,29,0.24434880859375,0.91616,0.545753759765625,0.8294
random,30,0.2321029296875,0.91888,0.466018310546875,0.8501
random,31,0.20672462890625,0.92964,0.482063818359375,0.8517
random,32,0.1943997265625,0.93388,0.48761982421875,0.8478
random,33,0.16249408203125,0.9436,0.412415576171875,0.8725
random,34,0.138053154296875,0.95288,0.431724365234375,0.8712
random,35,0.122382822265625,0.95752,0.5449173828125,0.8432
random,36,0.105301416015625,0.9642,0.4486263671875,0.8705
random,37,0.0944723828125,0.967,0.43378662109375,0.8743
random,38,0.0781715966796875,0.97392,0.3969754150390625,0.8869
random,39,0.05430896484375,0.98372,0.420240087890625,0.8824
random,40,0.044933271484375,0.98684,0.3897051025390625,0.8955
random,41,0.034671171875,0.99008,0.3855934326171875,0.9005
random,42,0.02944174560546875,0.99204,0.38150009765625,0.8995
random,43,0.02150479248046875,0.99472,0.397276513671875,0.8979
random,44,0.017286102294921876,0.99628,0.37286337890625,0.9052
random,45,0.016269598388671876,0.99576,0.372599462890625,0.9044
random,46,0.01329274169921875,0.99724,0.3722334228515625,0.906
random,47,0.01250919921875,0.99772,0.373655517578125,0.906
random,48,0.011079912109375,0.998,0.3696290283203125,0.9048
random,49,0.01036523681640625,0.9984,0.3703485107421875,0.9058
random,50,0.01059779052734375,0.9984,0.372732568359375,0.9054
el2n,1,2.38536859375,0.23252,2.0924921875,0.2439
el2n,2,1.56365109375,0.43604,1.7503701171875,0.379
el2n,3,1.18649421875,0.57356,1.9811544921875,0.3835
el2n,4,0.83495921875,0.70248,1.8884623046875,0.4489
el2n,5,0.5826291015625,0.7936,1.73719765625,0.5238
el2n,6,0.4043119921875,0.85948,2.003561328125,0.5448
el2n,7,0.27544271484375,0.90312,1.42113134765625,0.646
el2n,8,0.22622787109375,0.9212,1.52681865234375,0.6287
el2n,9,0.174636484375,0.93972,1.41953115234375,0.6608
el2n,10,0.146225400390625,0.9494,1.29092998046875,0.6803
el2n,11,0.107514580078125,0.96344,1.5732373046875,0.6701
el2n,12,0.094291806640625,0.9676,1.22641826171875,0.7107
el2n,13,0.0899838671875,0.97004,1.6746123046875,0.6663
el2n,14,0.06683564453125,0.97724,1.28720791015625,0.7117
el2n,15,0.059367333984375,0.97956,1.3906728515625,0.7025
el2n,16,0.0535657763671875,0.98212,1.15071220703125,0.7312
el2n,17,0.05027841796875,0.9842,1.256236328125,0.7309
el2n,18,0.043699306640625,0.98664,1.1875482421875,0.7397
el2n,19,0.0459570556640625,0.98524,1.17672314453125,0.73
el2n,20,0.0433993310546875,0.98616,1.1899046875,0.7373
el2n,21,0.0427123681640625,0.9862,1.21384345703125,0.7299
el2n,22,0.03044735595703125,0.9908,1.178498046875,0.7313
el2n,23,0.03531764892578125,0.98852,1.29320517578125,0.7193
el2n,24,0.033602119140625,0.98996,1.08163564453125,0.7576
el2n,25,0.022197763671875,0.99368,1.05080888671875,0.7617
el2n,26,0.0240278173828125,0.9922,1.1643615234375,0.7481
el2n,27,0.0232768408203125,0.99264,1.0976251953125,0.762
el2n,28,0.018612857666015625,0.99444,1.0033646484375,0.7748
el2n,29,0.017301805419921875,0.9952,0.9939740234375,0.7799
el2n,30,0.014123739013671874,0.99572,0.9632330078125,0.7849
el2n,31,0.011670797119140625,0.99684,0.95463583984375,0.7767
el2n,32,0.010696060791015625,0.99736,0.89830634765625,0.7914
el2n,33,0.00849074462890625,0.99788,0.86071494140625,0.7986
el2n,34,0.0039272207641601565,0.99956,0.87984150390625,0.7985
el2n,35,0.003065581359863281,0.99968,0.84208330078125,0.806
el2n,36,0.003225774841308594,0.99952,0.83351845703125,0.8049
el2n,37,0.00293814453125,0.99972,0.85830546875,0.8035
el2n,38,0.002216861114501953,0.99988,0.8320501953125,0.8075
el2n,39,0.002035208740234375,0.99984,0.8298947265625,0.8069
el2n,40,0.001804072723388672,0.99992,0.815348779296875,0.8098
el2n,41,0.0018353599548339844,0.99996,0.799031103515625,0.8139
el2n,42,0.0018703228759765626,0.99988,0.80108505859375,0.8142
el2n,43,0.0017812774658203124,1.0,0.7878634765625,0.8165
el2n,44,0.0018190811157226562,0.99992,0.797900146484375,0.8126
el2n,45,0.0016669844055175781,0.99996,0.790817822265625,0.8182
el2n,46,0.0017574137878417968,0.99992,0.814616455078125,0.81
el2n,47,0.0015726197814941406,0.99996,0.801235791015625,0.8136
el2n,48,0.00163974853515625,0.99992,0.78892939453125,0.8152
el2n,49,0.00168018798828125,0.99988,0.800542919921875,0.814
el2n,50,0.00156975830078125,0.99996,0.79122919921875,0.8144
forget,1,2.29324625,0.2326,1.9025052734375,0.2821
forget,2,1.64111921875,0.40544,1.6615837890625,0.3812
forget,3,1.3418740625,0.5172,1.6177451171875,0.4313
forget,4,1.069892578125,0.62544,1.31927158203125,0.5393
forget,5,0.852199140625,0.70996,1.43404453125,0.5377
forget,6,0.69889578125,0.76852,1.17479404296875,0.6284
forget,7,0.5708176171875,0.81624,1.0390462890625,0.6643
forget,8,0.475095390625,0.85024,0.97949619140625,0.6836
forget,9,0.4052703125,0.87252,0.9896265625,0.6935
forget,10,0.3576598828125,0.89208,0.7848267578125,0.7466
forget,11,0.31993296875,0.90168,0.80027705078125,0.749
